,Jmin,n,l,a,actfn
232,0.1661667376756668,128,16,15.707963267948966,tanh
233,0.16169625520706177,256,16,15.707963267948966,tanh
234,0.16148555278778076,1,32,15.707963267948966,tanh
235,0.1614864617586136,2,32,15.707963267948966,tanh
236,0.10533541440963744,4,32,15.707963267948966,tanh
237,0.09084445983171464,8,32,15.707963267948966,tanh
238,0.16152168810367584,16,32,15.707963267948966,tanh
239,0.1585502326488495,32,32,15.707963267948966,tanh
240,0.16164378821849823,64,32,15.707963267948966,tanh
241,0.16241109371185303,128,32,15.707963267948966,tanh
242,0.16633687913417816,256,32,15.707963267948966,tanh
243,0.16157354414463043,1,64,15.707963267948966,tanh
244,0.16159369051456451,2,64,15.707963267948966,tanh
245,0.16151578724384308,4,64,15.707963267948966,tanh
246,0.16155770421028137,8,64,15.707963267948966,tanh
247,0.16152682900428772,16,64,15.707963267948966,tanh
248,0.16161629557609558,32,64,15.707963267948966,tanh
249,0.16187188029289243,64,64,15.707963267948966,tanh
250,0.16322804987430573,128,64,15.707963267948966,tanh
251,0.16518619656562805,256,64,15.707963267948966,tanh
252,0.15569281578063965,1,1,15.707963267948966,relu
253,0.152521014213562,2,1,15.707963267948966,relu
254,0.14425568282604215,4,1,15.707963267948966,relu
255,0.14495874941349027,8,1,15.707963267948966,relu
256,0.1430111676454544,16,1,15.707963267948966,relu
257,0.14344187080860135,32,1,15.707963267948966,relu
258,0.14242109656333923,64,1,15.707963267948966,relu
259,0.13326770067214963,128,1,15.707963267948966,relu
260,0.10254538804292677,256,1,15.707963267948966,relu
261,0.16148778796195984,1,2,15.707963267948966,relu
262,0.15137530863285065,2,2,15.707963267948966,relu
263,0.14493730664253235,4,2,15.707963267948966,relu
264,0.1388588398694992,8,2,15.707963267948966,relu
265,0.13981546461582184,16,2,15.707963267948966,relu
266,0.13501542806625366,32,2,15.707963267948966,relu
267,0.04832407459616661,64,2,15.707963267948966,relu
268,0.03800375387072563,128,2,15.707963267948966,relu
269,0.02965762093663216,256,2,15.707963267948966,relu
270,0.16149911284446716,1,4,15.707963267948966,relu
